,dgp,error_distribution,running_variable,setup,p1,n,true_treatment_effect,median_bias_iv_ccf,median_bias_iv_ik,median_bias_lambda_1_ccf,median_bias_lambda_1_ik,median_bias_lambda_4_ccf,median_bias_lambda_4_ik,mad_iv_ccf,mad_iv_ik,mad_lambda_1_ccf,mad_lambda_1_ik,mad_lambda_4_ccf,mad_lambda_4_ik,rmse_iv_ccf,rmse_iv_ik,rmse_lambda_1_ccf,rmse_lambda_1_ik,rmse_lambda_4_ccf,rmse_lambda_4_ik,cov_iv_ccf,cov_iv_ik,cov_lambda_1_ccf,cov_lambda_1_ik,cov_lambda_4_ccf,cov_lambda_4_ik,cov_ar_ba_1,cov_ar_ba_2
2,1,2,1,1,0.8,300,0.04,0.0661189782633144,0.08366435363097,0.0718619958349828,0.0800121342954601,0.0416960585984073,0.0542083682357157,0.305021677250797,0.266459611001434,0.238064034932317,0.221625628518118,0.17606609386053,0.170062124727066,18.8549515241911,14.5491897729488,0.43680398409758,0.402190311216163,0.309876538997227,0.297089895374043,0.9582,0.9534,0.9857,0.9822,0.97,0.9722,0.9886,0.9767
3,1,2,1,1,0.9,300,0.04,0.0552476793392107,0.0612757634323667,0.0589723409142984,0.0576964869837742,0.0499165035082707,0.0505759069342938,0.216404738150613,0.192607440245333,0.19878819255458,0.177633955378976,0.175024351123085,0.164275968774732,1.1065620464127,0.380260369901475,0.355186352122032,0.308466679713513,0.308117183086233,0.277615476242186,0.9434,0.9448,0.9723,0.9679,0.9671,0.9664,0.9892,0.9781
4,1,2,1,2,0.6,300,0.04,0.10995312362904,0.139314300907816,0.0299248110644093,0.0604307450506015,-0.0022328893414037,0.0096936181793164,0.736445736647901,0.714818393552686,0.255152054198786,0.269345494307852,0.137787251448884,0.139177343339794,153.930053773771,1015.03574759653,0.488976987204965,0.501198546537521,0.253179499399914,0.260139539973672,0.9833,0.9847,0.9809,0.9817,0.923,0.9335,0.9878,0.9798
5,1,2,1,2,0.7,300,0.04,0.102900375330788,0.133986722040076,0.0685584046610771,0.088378855619918,0.0259341350678464,0.0392178451733652,0.45025760762502,0.407563734403093,0.26765163094214,0.27001238200087,0.162308207894732,0.170142879703823,15.1923943201588,51.4333934841994,0.496037618481083,0.488708468872373,0.295604630813732,0.301186753508819,0.9708,0.9733,0.9884,0.9885,0.9549,0.961,0.9899,0.9792
6,1,2,1,2,0.8,300,0.04,0.0830169393543086,0.0922252002753265,0.0777390174419365,0.0838861480113464,0.0517725764812325,0.0590919850794551,0.300108950387237,0.264891652796508,0.243986115121307,0.220965315600357,0.181457056858237,0.176539489960128,7.1483508126441,1.48946492925415,0.431260852927798,0.402060637967459,0.315174070221382,0.309905789721939,0.9615,0.9598,0.9853,0.9786,0.9698,0.9686,0.9891,0.978
7,1,2,1,2,0.9,300,0.04,0.0494664137462904,0.0559444347324797,0.0567665663930477,0.0567439823009334,0.0485296864836446,0.0500626693851007,0.223403801561616,0.1959151715914,0.20191288001778,0.182559858339418,0.181997353008438,0.169232712435073,0.776775850087785,0.534894186060882,0.381426799270482,0.330556440791154,0.329826870926652,0.297308741759667,0.9392,0.9396,0.9729,0.9663,0.9699,0.9658,0.9895,0.9796
8,1,2,1,3,0.6,300,0.04,0.114775371684114,0.143529660350645,0.0262604713936746,0.0448746176141419,-0.0061896472245914,-0.000862825894651,0.738181903264131,0.709136026724761,0.247195715473862,0.252708669655398,0.133465201748717,0.129430793263963,156.153023099489,79.3948667872743,0.490384989968694,0.478361984309557,0.245897328628759,0.241357617484118,0.9842,0.985,0.9813,0.9851,0.9248,0.937,0.9886,0.9779
9,1,2,1,3,0.7,300,0.04,0.110168181549145,0.131116603647702,0.0698958666260315,0.0850579658888979,0.0217599265681944,0.0348472364469568,0.459496285284808,0.40805858835355,0.262037531094852,0.26397246328025,0.155229433129123,0.160666725216964,61.1692964402021,77.3619969299807,0.480712474081621,0.472866066580047,0.279017548499659,0.281650888761214,0.9725,0.9744,0.9895,0.9877,0.954,0.9621,0.9881,0.9788
10,1,2,1,3,0.8,300,0.04,0.0807972309068099,0.0920636535557135,0.0744661551741741,0.0868099599380695,0.0454209401830032,0.0571353163671497,0.298586786379829,0.264828418256495,0.237421006857543,0.224304963484666,0.176813822911397,0.173205446606122,7.40288659577788,2.11899406072986,0.43024662104502,0.398518090850114,0.305552930630523,0.295777317498823,0.9599,0.9622,0.9866,0.9833,0.9697,0.9718,0.989,0.9789
11,1,2,1,3,0.9,300,0.04,0.0510083024751786,0.0562999316393658,0.0539610926662618,0.060289081117752,0.0453350536509312,0.0525703674339024,0.217755531879125,0.194716768549845,0.202569534642401,0.183859850986974,0.180281111498806,0.168027341077711,0.648530884407697,1.9310614901717,0.42222670086271,0.37484792546065,0.377400722758459,0.344308162000587,0.9449,0.9455,0.9749,0.9694,0.9702,0.9678,0.988,0.9792
